player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Keion Crossen,49454,CB,MIA,1,8,0,17,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,12.5,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,56.9,0,,100.0,1,0,0.0,0,6,75.0,6,0,0,0,0,0,0,0.0,
Taron Johnson,49511,CB,BUF,1,49,0,4,0,,,100.0,,,0,0,,35.4,0,,,0,0,0.0,0,3,6.1,3,0,0,0,0,0,0,0.0,,0,3,1.1,75.0,100.0,6.5,4.9,0,1,12.5,64.8,0,12,12.5,1,1,82.8,6,39,79.6,39,1,4,8,0,35,30,0.9,5.8
Juju Hughes,49545,S,DET,1,6,0,11,0,-4.0,100.0,66.7,2.0,2.0,0,0,0.0,38.9,0,22,,0,0,118.8,1,2,33.3,3,0,0,1,0,22,26,11.0,22.0,0,0,,,100.0,,,0,0,,60.6,0,,,0,0,0.0,0,3,50.0,3,0,0,0,0,0,0,0.0,
Denzel Ward,49558,CB,CLV,1,29,0,8,0,,,100.0,,,0,0,,63.4,0,,,0,0,0.0,0,4,13.8,4,0,0,0,0,0,0,0.0,,0,0,5.3,66.7,100.0,8.5,5.7,0,1,33.3,61.8,0,26,100.0,1,1,103.5,2,19,65.5,19,0,0,3,0,33,24,1.9,16.5
Rock Ya-Sin,49564,CB,LV,1,26,0,23,0,13.0,50.0,100.0,8.0,4.0,0,0,0.0,65.9,0,11,0.0,0,0,66.7,1,8,30.8,8,0,2,2,0,11,5,1.4,11.0,0,0,15.0,75.0,100.0,5.3,4.0,0,0,0.0,54.5,0,42,0.0,0,0,115.6,3,16,61.5,16,2,2,4,0,49,15,3.1,16.3
Zach Allen,49605,DI,ARZ,1,1,0,1,0,,,5.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,19,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,
Cole Holcomb,49753,LB,WAS,1,42,0,32,0,5.0,100.0,72.2,11.0,11.0,0,0,0.0,68.0,0,7,0.0,0,0,95.8,1,13,31.0,18,0,1,1,0,7,2,0.6,7.0,0,0,,,87.0,,,0,0,,66.2,0,,,0,0,0.0,0,20,47.6,23,0,0,0,0,0,0,0.0,
Quincy Williams,49779,LB,NYJ,1,30,0,22,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,3.3,1,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,100.0,26.0,26.0,0,0,0.0,62.9,0,11,33.3,1,0,112.5,1,27,90.0,27,0,2,1,0,11,2,0.4,11.0
Azeez Al-Shaair,49792,LB,SF,1,8,0,28,0,25.0,0.0,100.0,,2.0,0,0,0.0,60.8,0,,,0,0,39.6,0,2,25.0,2,0,0,1,0,0,0,0.0,,0,1,,,100.0,,,0,0,,66.2,0,,0.0,0,0,0.0,0,6,75.0,6,0,0,0,0,0,0,0.0,
Zaire Franklin,49834,LB,IND,1,38,0,14,0,2.0,0.0,85.7,,5.0,0,0,0.0,39.0,0,,,0,0,39.6,0,6,15.8,7,0,0,1,0,0,0,0.0,,0,1,3.5,50.0,88.6,30.0,15.0,0,0,0.0,56.3,0,8,0.0,0,0,60.4,1,31,81.6,35,0,2,2,0,8,6,0.3,8.0
B.J. Hill,49894,DI,CIN,1,1,0,7,0,,,7.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,14,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,17,1,0,0,0,0,0,,
Uchenna Nwosu,50084,ED,SEA,1,6,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,18.8,,,0,0,,64.3,0,,0.0,0,0,0.0,0,3,50.0,16,0,1,0,0,0,0,0.0,
Josh Sweat,50120,ED,PHI,1,2,0,24,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,4.0,100.0,10.0,2.0,2.0,0,0,0.0,62.7,0,7,0.0,0,0,95.8,1,2,100.0,20,0,1,1,0,7,3,3.5,7.0
Lorenzo Carter,50126,ED,ATL,1,7,0,2,0,,,13.3,,,0,0,,61.7,0,,,0,0,0.0,0,2,28.6,15,1,0,0,0,0,0,0.0,,0,0,,,29.4,,,0,0,,63.4,0,,100.0,1,0,0.0,0,5,71.4,17,0,0,0,0,0,0,0.0,
Olasunkanmi Adeniyi,50154,ED,TEN,1,2,0,31,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,28.6,,,0,0,,60.7,0,,,0,0,0.0,0,2,100.0,7,0,0,0,0,0,0,0.0,
Rashaan Evans,50213,LB,ATL,1,35,0,2,0,,,80.0,,,0,0,,66.6,0,,,0,0,0.0,0,12,34.3,15,0,0,0,0,0,0,0.0,,0,0,4.0,100.0,87.0,10.0,10.0,0,0,0.0,68.9,0,6,50.0,1,0,89.6,2,20,57.1,23,0,1,2,0,11,3,0.6,5.5
Josh Allen,50235,ED,JAX,1,5,0,15,1,,,0.0,,,0,0,,68.8,0,,0.0,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,,,16.7,,,0,0,,62.9,0,,,0,0,0.0,0,4,80.0,24,0,0,0,0,0,0,0.0,
Marquis Haynes,50244,ED,CAR,1,4,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,9,0,0,0,0,0,0,0.0,
Nik Needham,50356,CB,MIA,1,34,0,17,0,20.0,100.0,100.0,2.3,2.3,0,0,0.0,28.5,0,41,0.0,0,0,118.8,3,9,26.5,9,0,1,3,0,85,25,12.1,28.3,0,0,25.0,50.0,100.0,22.0,11.0,0,0,0.0,41.8,0,9,0.0,0,0,62.5,1,22,64.7,22,0,1,2,0,9,0,0.4,9.0
Anthony Averett,50365,CB,LV,1,21,0,23,0,,,100.0,,,0,0,,77.4,0,,,0,0,0.0,0,7,33.3,7,0,0,0,0,0,0,0.0,,0,0,30.0,100.0,100.0,11.0,11.0,0,0,0.0,48.2,0,30,,0,0,118.8,1,11,52.4,11,0,0,1,0,30,0,2.7,30.0
Aaron Robinson,50370,CB,NYG,1,38,0,21,0,7.3,66.7,100.0,6.5,4.3,0,1,33.3,68.3,0,20,0.0,0,1,96.5,2,16,42.1,16,0,1,3,0,28,12,2.2,14.0,0,0,41.0,0.0,100.0,,16.0,0,0,0.0,69.0,0,,,0,0,39.6,0,16,42.1,16,0,0,1,0,0,0,0.0,
Jeremy Reaves,50406,S,WAS,1,4,0,32,0,5.0,100.0,100.0,2.0,2.0,0,0,0.0,62.7,0,7,0.0,0,0,95.8,1,2,50.0,2,1,1,1,0,7,2,3.5,7.0,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Juan Thornhill,50426,S,KC,1,33,0,16,0,2.0,100.0,90.0,9.0,9.0,0,0,0.0,52.5,0,10,100.0,1,0,108.3,1,9,27.3,10,0,0,1,0,10,8,1.1,10.0,0,0,34.5,0.0,100.0,,9.5,1,2,100.0,88.1,0,,0.0,0,2,39.6,0,20,60.6,20,0,1,2,0,0,0,0.0,
Emmanuel Moseley,50430,CB,SF,1,24,0,28,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,3,12.5,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,58.2,0,,,0,0,0.0,0,17,70.8,17,0,0,0,0,0,0,0.0,
Michael Jackson,50437,CB,SEA,1,47,0,29,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.1,1,0,0,0,0,0,0,0.0,,0,0,16.8,25.0,100.0,18.0,4.5,0,0,0.0,59.4,0,7,50.0,1,0,39.6,1,19,40.4,19,0,1,4,0,7,1,0.4,7.0
Jace Whittaker,50465,CB,ARZ,1,5,0,1,0,,,75.0,,,0,0,,62.5,0,,,0,0,0.0,0,3,60.0,4,0,0,0,0,0,0,0.0,,0,0,11.5,50.0,66.7,2.0,1.0,0,0,0.0,42.4,0,30,,0,0,95.8,1,2,40.0,3,0,0,2,0,30,15,15.0,30.0
Amani Oruwariye,50533,CB,DET,1,44,0,11,0,4.8,75.0,100.0,6.3,4.8,0,1,25.0,64.3,0,16,50.0,1,1,99.0,3,20,45.5,20,1,1,4,0,33,20,1.7,11.0,0,0,13.5,100.0,100.0,7.0,7.0,0,0,0.0,50.1,0,18,0.0,0,0,118.8,2,15,34.1,15,0,2,2,0,36,9,2.6,18.0
Mike Ford,50535,CB,ATL,1,11,0,2,0,,,100.0,,,0,0,,63.4,0,,,0,0,0.0,0,3,27.3,3,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,88.9,8.0,8.0,0,0,0.0,68.7,0,11,0.0,0,0,112.5,1,8,72.7,9,0,2,1,0,11,2,1.4,11.0
Avonte Maddox,50543,CB,PHI,1,37,0,24,0,,,100.0,,,0,0,,67.8,0,,,0,0,0.0,0,11,29.7,11,0,0,0,0,0,0,0.0,,0,0,2.2,83.3,92.9,5.0,4.2,0,0,0.0,49.2,0,25,75.0,3,0,107.6,5,26,70.3,28,1,1,6,0,59,51,2.4,11.8
Brandon Facyson,50564,CB,IND,1,23,0,14,0,4.0,100.0,100.0,5.0,5.0,0,0,0.0,52.1,0,4,0.0,0,0,83.3,1,6,26.1,6,0,1,1,0,4,0,0.8,4.0,0,0,11.5,50.0,100.0,17.0,8.5,0,0,0.0,61.8,0,18,0.0,0,0,81.3,1,17,73.9,17,0,2,2,0,18,1,1.1,18.0
Austin Calitro,50640,LB,NYG,1,16,0,21,0,15.0,100.0,33.3,2.0,2.0,0,0,0.0,27.9,0,7,,0,0,135.4,1,4,25.0,12,0,0,1,1,7,0,3.5,7.0,0,2,1.0,100.0,83.3,10.0,10.0,0,0,0.0,54.5,0,8,0.0,0,0,100.0,1,10,62.5,12,0,0,1,0,8,7,0.8,8.0
Cody Barton,50727,LB,SEA,1,39,0,29,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.6,1,0,0,0,0,0,0,0.0,,0,0,-0.3,100.0,82.4,3.3,3.3,0,0,0.0,87.8,0,10,0.0,0,0,84.4,4,14,35.9,17,3,4,4,0,17,18,1.3,4.3
Jordyn Brooks,50851,LB,SEA,1,44,0,29,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.3,1,0,0,0,0,0,0,0.0,,0,1,0.5,100.0,89.5,8.0,8.0,0,0,0.0,45.9,0,13,50.0,2,0,112.5,2,17,38.6,19,0,1,2,0,22,21,1.4,11.0
Roquan Smith,50892,LB,CHI,1,36,0,6,0,8.0,0.0,100.0,,4.0,0,0,0.0,45.0,0,,,0,0,39.6,0,4,11.1,4,0,0,1,0,0,0,0.0,,0,1,14.9,37.5,100.0,9.7,3.6,0,1,12.5,40.4,0,20,25.0,1,1,54.2,3,30,83.3,30,0,2,8,0,40,4,1.4,13.3
Tremaine Edmunds,50905,LB,BUF,1,50,0,4,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,3,6.0,3,0,0,0,0,0,0,0.0,,0,0,6.2,60.0,100.0,6.7,4.0,0,0,0.0,74.7,0,11,12.5,1,0,69.2,6,40,80.0,40,5,7,10,0,41,17,1.0,6.8
Robert Spillane,50918,LB,PIT,1,21,0,25,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,5,23.8,5,0,0,0,0,0,0,0.0,,0,1,2.0,100.0,100.0,13.0,13.0,0,0,0.0,58.1,0,9,0.0,0,0,104.2,1,13,61.9,13,0,2,1,0,9,7,0.7,9.0
Leighton Vander Esch,50950,LB,DAL,1,23,0,9,0,5.0,0.0,100.0,,8.0,0,0,0.0,65.8,0,,,0,0,39.6,0,8,34.8,8,0,0,1,0,0,0,0.0,,0,2,0.7,100.0,100.0,4.3,4.3,0,0,0.0,87.3,0,7,0.0,0,0,79.2,3,13,56.5,13,1,2,3,0,8,6,0.6,2.7
Bobby Okereke,50954,LB,IND,1,40,0,14,0,4.0,100.0,85.7,5.0,5.0,0,0,0.0,51.1,0,6,0.0,0,0,91.7,1,6,15.0,7,0,1,1,0,6,2,1.2,6.0,0,0,0.0,40.0,94.3,16.0,6.4,0,1,20.0,66.0,0,8,,0,1,47.9,2,33,82.5,35,0,0,5,0,13,20,0.4,6.5
Ja'Whaun Bentley,50966,LB,NE,1,15,0,19,0,,,60.0,,,0,0,,44.6,0,,,0,0,0.0,0,3,20.0,5,1,0,0,0,0,0,0.0,,0,0,3.0,100.0,64.7,11.0,11.0,0,0,0.0,65.7,0,5,,0,0,87.5,1,11,73.3,17,0,0,1,0,5,2,0.5,5.0
Frankie Luvu,51028,LB,CAR,1,26,0,5,0,,,54.5,,,0,0,,79.1,0,,0.0,0,0,0.0,0,6,23.1,11,1,1,0,0,0,0,0.0,,0,0,6.0,50.0,82.4,13.0,6.5,0,0,0.0,42.1,0,1,50.0,1,0,56.3,1,14,53.8,17,0,1,2,0,1,1,0.1,1.0
Tyrel Dodson,51045,LB,BUF,1,1,0,4,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Jahlani Tavai,51055,LB,NE,1,1,0,19,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,4.0,100.0,20.0,1.0,1.0,0,0,0.0,62.0,0,8,0.0,0,0,100.0,1,1,100.0,5,0,1,1,0,8,4,8.0,8.0
Julian Love,51081,S,NYG,1,39,0,21,0,,,100.0,,,0,0,,67.2,0,,0.0,0,0,0.0,0,16,41.0,16,0,1,0,0,0,0,0.0,,0,0,5.0,100.0,100.0,16.0,16.0,0,0,0.0,53.0,0,5,0.0,0,0,87.5,1,16,41.0,16,0,1,1,0,5,0,0.3,5.0
Taylor Rapp,51172,S,LA,1,37,0,26,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,4,10.8,4,0,0,0,0,0,0,0.0,,0,0,,,96.2,,,0,0,,64.4,0,,,0,0,0.0,0,25,67.6,26,0,0,0,0,0,0,0.0,
P.J. Locke,51189,S,DEN,1,1,0,10,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Joshua Kalu,51203,S,TEN,1,12,0,31,0,,,100.0,,,0,0,,61.6,0,,,0,0,0.0,0,4,33.3,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,63.3,0,,0.0,0,0,0.0,0,7,58.3,7,0,1,0,0,0,0,0.0,
Minkah Fitzpatrick,51206,S,PIT,1,70,0,25,1,,,95.7,,,0,0,,47.1,0,,0.0,0,0,0.0,0,22,31.4,23,0,0,0,0,0,0,0.0,,0,0,8.8,75.0,100.0,11.7,8.8,0,0,0.0,91.4,1,15,0.0,0,0,50.0,3,36,51.4,36,1,6,4,0,24,5,0.7,8.0
Fred Warner,51222,LB,SF,1,24,0,28,0,,,100.0,,,0,0,,62.8,0,,,0,0,0.0,0,3,12.5,3,0,0,0,0,0,0,0.0,,0,1,4.0,0.0,100.0,,16.0,0,0,0.0,53.2,0,,0.0,0,0,39.6,0,17,70.8,17,0,2,1,0,0,0,0.0,
Tracy Walker,51266,S,DET,1,35,0,11,1,,,94.1,,,0,0,,68.1,0,,0.0,0,0,0.0,0,16,45.7,17,0,1,0,0,0,0,0.0,,0,0,,,91.7,,,0,0,,65.5,0,,0.0,0,0,0.0,0,11,31.4,12,1,1,0,0,0,0,0.0,
Drue Tranquill,51276,LB,LAC,1,26,0,27,0,,,100.0,,,0,0,,51.4,0,,100.0,1,0,0.0,0,5,19.2,5,0,0,0,0,0,0,0.0,,0,0,13.3,66.7,100.0,7.5,5.0,0,0,0.0,86.1,1,23,0.0,0,0,63.9,2,15,57.7,15,0,1,3,0,33,14,2.2,16.5
Mike Edwards,51282,S,TB,1,45,0,30,0,,,88.9,,,0,0,,49.3,0,,0.0,0,0,0.0,0,8,17.8,9,0,1,0,0,0,0,0.0,,0,1,17.7,66.7,88.6,14.0,9.3,0,1,33.3,63.8,0,13,20.0,1,1,85.4,2,31,68.9,35,1,3,3,0,20,4,0.7,10.0
Terrell Edmunds,51334,S,PIT,1,67,0,25,0,7.5,50.0,95.7,18.0,9.0,0,0,0.0,81.3,0,1,0.0,0,0,56.3,1,22,32.8,23,1,1,2,0,1,1,0.1,1.0,0,0,7.2,100.0,91.7,6.4,6.4,0,0,0.0,44.7,0,22,42.9,3,0,118.8,5,33,49.3,36,1,4,5,0,71,35,2.2,14.2
Will Harris,51336,CB,DET,1,5,0,11,0,35.0,100.0,100.0,2.0,2.0,0,0,0.0,35.8,0,54,0.0,0,0,118.8,1,2,40.0,2,0,1,1,0,54,19,27.0,54.0,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,
Derwin James,51368,S,LAC,1,41,0,27,0,,,100.0,,,0,0,,66.2,0,,0.0,0,0,0.0,0,7,17.1,7,0,1,0,0,0,0,0.0,,0,0,4.5,100.0,84.0,10.5,10.5,0,0,0.0,61.4,0,10,0.0,0,0,97.9,2,21,51.2,25,1,3,2,0,15,6,0.7,7.5
Amani Hooker,51378,S,TEN,1,27,0,31,0,,,85.7,,,0,0,,61.9,0,,,0,0,0.0,0,6,22.2,7,0,0,0,0,0,0,0.0,,0,0,6.5,100.0,95.2,9.5,9.5,0,0,0.0,64.1,0,16,0.0,0,0,108.3,2,20,74.1,21,1,2,2,0,20,7,1.1,10.0
Marcus Epps,51391,S,PHI,1,40,0,24,0,2.0,100.0,90.9,9.0,9.0,0,0,0.0,52.2,0,4,,0,0,122.9,1,10,25.0,11,0,0,1,1,4,2,0.4,4.0,0,0,8.5,100.0,100.0,14.5,14.5,0,0,0.0,53.8,0,28,0.0,0,0,118.8,2,30,75.0,30,1,4,2,0,26,9,0.9,13.0
Roderic Teamer,51405,S,LV,1,9,0,23,1,5.0,100.0,100.0,2.5,2.5,0,0,0.0,40.6,0,18,0.0,0,0,152.1,2,5,55.6,5,0,0,2,1,22,12,4.4,11.0,0,1,,,100.0,,,0,0,,62.9,0,,0.0,0,0,0.0,0,4,44.4,4,0,0,0,0,0,0,0.0,
Jaylinn Hawkins,51423,S,ATL,1,38,0,2,0,10.8,50.0,87.5,6.0,3.0,0,0,0.0,56.0,0,17,0.0,0,0,63.5,2,14,36.8,16,1,2,4,0,19,1,1.6,9.5,0,2,8.0,75.0,91.3,7.0,5.3,1,1,25.0,68.0,0,20,20.0,1,1,91.7,3,21,55.3,23,0,2,4,0,26,16,1.2,8.7
Jaquan Johnson,51433,S,BUF,1,2,0,4,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,59.7,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Kaden Elliss,51485,LB,NO,1,10,0,20,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,9.5,100.0,69.2,4.5,4.5,0,0,0.0,37.1,0,13,0.0,0,0,116.7,2,9,90.0,13,0,1,2,0,24,5,2.7,12.0
J.T. Gray,51495,S,NO,1,4,0,20,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
Dre Greenlaw,51503,LB,SF,1,22,0,28,0,,,66.7,,,0,0,,61.2,0,,,0,0,0.0,0,2,9.1,3,0,0,0,0,0,0,0.0,,0,0,2.8,100.0,94.1,3.8,3.8,0,0,0.0,45.8,0,51,50.0,1,0,158.3,4,16,72.7,17,1,1,4,1,70,59,4.7,17.5
Kenny Moore II,51596,CB,IND,1,40,0,14,0,9.0,100.0,100.0,6.0,6.0,0,0,0.0,32.3,0,9,0.0,0,0,104.2,1,7,17.5,7,0,1,1,0,9,0,1.5,9.0,0,1,11.3,66.7,91.4,7.8,5.2,0,0,0.0,47.9,0,22,0.0,0,0,134.7,4,32,80.0,35,2,3,6,1,54,15,1.7,13.5
Nicholas Morrow,51674,LB,CHI,1,35,0,6,0,,,100.0,,,0,0,,63.7,0,,,0,0,0.0,0,4,11.4,4,0,0,0,0,0,0,0.0,,0,0,9.0,50.0,96.7,28.0,14.0,0,0,0.0,46.9,0,6,50.0,1,0,56.3,1,29,82.9,30,1,1,2,0,6,1,0.2,6.0
Darrick Forrest,55087,S,WAS,1,47,0,32,0,6.5,75.0,94.1,4.3,3.3,0,0,0.0,90.6,0,25,0.0,0,0,96.9,3,16,34.0,17,1,3,4,0,31,9,2.4,10.3,0,0,31.0,0.0,100.0,,10.5,0,1,50.0,86.1,1,,,0,1,0.0,0,23,48.9,23,0,0,2,0,0,0,0.0,
Coby Bryant,55088,CB,SEA,1,2,0,29,0,26.0,100.0,100.0,1.0,1.0,0,0,0.0,27.8,0,67,100.0,1,0,158.3,1,1,50.0,1,0,0,1,1,67,41,67.0,67.0,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
A.J. Terrell,55586,CB,ATL,1,42,0,2,0,12.0,100.0,100.0,7.0,7.0,0,0,0.0,58.0,0,21,0.0,0,0,156.3,2,16,38.1,16,0,1,2,1,24,3,1.7,12.0,0,0,6.3,66.7,100.0,11.5,7.7,0,0,0.0,52.1,0,20,25.0,1,0,86.8,2,23,54.8,23,1,3,3,0,21,11,0.9,10.5
Marco Wilson,55592,CB,ARZ,1,42,0,1,0,10.5,25.0,100.0,18.0,4.5,0,2,50.0,61.0,0,7,0.0,0,2,39.6,1,19,45.2,19,0,1,4,0,7,4,0.4,7.0,0,0,6.0,100.0,88.9,15.0,15.0,0,0,0.0,67.4,0,8,0.0,0,0,100.0,1,16,38.1,18,0,3,1,0,8,2,0.5,8.0
C.J. Henderson,55593,CB,CAR,1,23,0,5,0,10.0,0.0,100.0,,6.0,0,1,100.0,40.4,0,,,0,1,39.6,0,7,30.4,7,0,0,1,0,0,0,0.0,,0,0,16.0,0.0,100.0,,6.0,0,0,0.0,50.8,0,,,0,0,39.6,0,7,30.4,7,0,0,1,0,0,0,0.0,
Amik Robertson,55619,CB,LV,1,9,0,23,0,,,100.0,,,0,0,,64.7,0,,,0,0,0.0,0,4,44.4,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,59.9,0,,100.0,1,0,0.0,0,5,55.6,5,0,0,0,0,0,0,0.0,
Jeffrey Okudah,55674,CB,DET,1,39,0,11,0,10.0,0.0,100.0,,17.0,0,1,100.0,67.6,0,,0.0,0,1,39.6,0,18,46.2,18,0,1,1,0,0,0,0.0,,0,1,4.0,100.0,100.0,3.3,3.3,0,0,0.0,45.9,0,11,0.0,0,0,100.0,4,14,35.9,14,1,4,4,0,32,16,2.5,8.0
Tre Norwood,55675,S,PIT,1,30,0,25,0,,,100.0,,,0,0,,69.9,0,,,0,0,0.0,0,9,30.0,9,0,0,0,0,0,0,0.0,,0,1,20.0,0.0,100.0,,19.0,0,0,0.0,44.6,0,,0.0,0,0,39.6,0,20,66.7,20,0,0,1,0,0,0,0.0,
Marcus Jones,55717,CB,NE,1,1,0,19,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Darious Williams,55724,CB,JAX,1,37,0,15,0,1.0,100.0,100.0,8.0,8.0,0,0,0.0,33.1,0,12,100.0,2,0,116.7,1,9,24.3,9,0,0,1,0,12,11,1.5,12.0,0,0,1.0,100.0,94.4,4.7,4.7,0,0,0.0,29.1,0,13,33.3,1,0,112.5,3,17,45.9,18,0,2,3,0,33,30,2.4,11.0
Xavier McKinney,55775,S,NYG,1,34,0,21,0,,,75.0,,,0,0,,62.9,0,,,0,0,0.0,0,12,35.3,16,0,0,0,0,0,0,0.0,,0,0,22.5,50.0,93.8,15.0,7.5,0,0,0.0,60.7,0,13,0.0,0,0,70.8,1,15,44.1,16,0,2,2,0,13,0,0.9,13.0
Eric Stokes,55912,CB,GB,1,34,0,12,0,13.0,100.0,100.0,4.0,4.0,0,0,0.0,36.3,0,20,,0,0,118.8,1,4,11.8,4,0,0,1,0,20,7,5.0,20.0,0,0,6.0,100.0,100.0,21.0,21.0,0,0,0.0,71.8,0,7,0.0,0,0,95.8,1,22,64.7,22,0,3,1,0,7,1,0.3,7.0
Bryan Cook,55940,S,KC,1,18,0,16,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.6,1,0,0,0,0,0,0,0.0,,0,0,2.5,100.0,100.0,7.0,7.0,0,0,0.0,57.2,0,8,50.0,1,0,91.7,2,15,83.3,15,0,1,2,0,12,7,0.9,6.0
Nate Hobbs,55948,CB,LV,1,34,0,23,0,6.0,0.0,100.0,,11.0,0,1,100.0,83.7,0,,0.0,0,1,39.6,0,12,35.3,12,1,1,1,0,0,0,0.0,,0,1,4.0,100.0,95.0,19.0,19.0,0,0,0.0,70.5,0,5,0.0,0,0,87.5,1,19,55.9,20,0,1,1,0,5,1,0.3,5.0
Tony Adams,55953,S,NYJ,1,1,0,22,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Benjamin St-Juste,56061,CB,WAS,1,43,0,32,0,3.0,100.0,100.0,15.0,15.0,0,0,0.0,47.5,0,18,0.0,0,0,118.8,1,18,41.9,18,0,1,1,0,18,15,1.2,18.0,0,0,3.0,100.0,85.0,16.0,16.0,0,0,0.0,69.9,0,4,0.0,0,0,83.3,1,17,39.5,20,1,2,1,0,4,1,0.3,4.0
Keisean Nixon,56167,CB,GB,1,1,0,12,0,3.0,100.0,100.0,1.0,1.0,0,0,0.0,73.1,0,4,0.0,0,0,83.3,1,1,100.0,1,1,1,1,0,4,1,4.0,4.0,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
